,Bin input uns,Bin input,Bin output,Bin sim. output
192,13.0,13.0,8.0,7.0
193,5.0,5.0,9.0,8.0
194,11.0,11.0,11.0,10.0
195,16.0,16.0,12.0,12.0
196,8.0,8.0,13.0,13.0
197,21.0,21.0,16.0,15.0
198,13.0,13.0,16.0,16.0
199,19.0,19.0,18.0,18.0
200,23.0,23.0,20.0,19.0
201,15.0,15.0,21.0,20.0
202,29.0,29.0,23.0,23.0
203,20.0,20.0,24.0,23.0
204,26.0,26.0,26.0,25.0
205,31.0,31.0,28.0,27.0
206,23.0,23.0,28.0,28.0
207,36.0,36.0,31.0,30.0
208,27.0,27.0,31.0,31.0
209,34.0,34.0,33.0,33.0
210,38.0,38.0,35.0,34.0
211,30.0,30.0,35.0,35.0
212,43.0,43.0,38.0,37.0
213,34.0,34.0,38.0,37.0
214,40.0,40.0,40.0,39.0
215,44.0,44.0,41.0,40.0
216,36.0,36.0,42.0,41.0
217,50.0,50.0,44.0,43.0
218,40.0,40.0,44.0,44.0
219,47.0,47.0,46.0,45.0
220,49.0,49.0,47.0,46.0
221,42.0,42.0,47.0,47.0
222,55.0,55.0,49.0,49.0
223,45.0,45.0,49.0,49.0
224,52.0,52.0,51.0,50.0
225,54.0,54.0,52.0,51.0
226,47.0,47.0,52.0,52.0
227,60.0,60.0,54.0,54.0
228,50.0,50.0,54.0,54.0
229,56.0,56.0,55.0,55.0
230,59.0,59.0,56.0,56.0
231,51.0,51.0,56.0,56.0
232,64.0,64.0,58.0,57.0
233,53.0,53.0,58.0,57.0
234,60.0,60.0,59.0,58.0
235,62.0,62.0,59.0,59.0
236,54.0,54.0,59.0,59.0
237,67.0,67.0,61.0,60.0
238,56.0,56.0,60.0,60.0
239,63.0,63.0,61.0,61.0
240,64.0,64.0,62.0,61.0
241,57.0,57.0,62.0,61.0
242,69.0,69.0,63.0,63.0
243,58.0,58.0,62.0,62.0
244,65.0,65.0,63.0,63.0
245,65.0,65.0,63.0,63.0
246,58.0,58.0,63.0,62.0
247,70.0,70.0,64.0,63.0
248,58.0,58.0,63.0,62.0
249,65.0,65.0,64.0,63.0
250,65.0,65.0,64.0,63.0
251,58.0,58.0,63.0,62.0
252,70.0,70.0,64.0,63.0
253,58.0,58.0,63.0,62.0
254,65.0,65.0,63.0,63.0
255,65.0,65.0,63.0,63.0
256,58.0,58.0,62.0,62.0
257,69.0,69.0,63.0,63.0
258,57.0,57.0,62.0,61.0
259,64.0,64.0,62.0,61.0
260,63.0,63.0,61.0,61.0
261,56.0,56.0,60.0,60.0
262,67.0,67.0,61.0,60.0
263,54.0,54.0,59.0,59.0
264,62.0,62.0,59.0,59.0
265,60.0,60.0,59.0,58.0
266,53.0,53.0,58.0,57.0
267,64.0,64.0,58.0,57.0
268,51.0,51.0,56.0,56.0
269,59.0,59.0,56.0,56.0
270,56.0,56.0,55.0,55.0
271,50.0,50.0,54.0,54.0
272,60.0,60.0,54.0,54.0
273,47.0,47.0,52.0,52.0
274,54.0,54.0,52.0,51.0
275,52.0,52.0,51.0,50.0
276,45.0,45.0,49.0,49.0
277,55.0,55.0,49.0,49.0
278,42.0,42.0,47.0,47.0
279,49.0,49.0,47.0,46.0
280,47.0,47.0,46.0,45.0
281,40.0,40.0,44.0,44.0
282,50.0,50.0,44.0,43.0
283,36.0,36.0,42.0,41.0
284,44.0,44.0,41.0,40.0
285,40.0,40.0,40.0,39.0
286,34.0,34.0,38.0,37.0
287,43.0,43.0,38.0,37.0
288,30.0,30.0,35.0,35.0
289,38.0,38.0,35.0,34.0
290,34.0,34.0,33.0,33.0
291,27.0,27.0,31.0,31.0
292,36.0,36.0,31.0,30.0
293,23.0,23.0,28.0,28.0
294,31.0,31.0,28.0,27.0
295,26.0,26.0,26.0,25.0
296,20.0,20.0,24.0,23.0
297,29.0,29.0,23.0,23.0
298,15.0,15.0,21.0,20.0
299,23.0,23.0,20.0,19.0
300,19.0,19.0,18.0,18.0
301,13.0,13.0,16.0,16.0
302,21.0,21.0,16.0,15.0
303,8.0,8.0,13.0,13.0
304,16.0,16.0,12.0,12.0
305,11.0,11.0,11.0,10.0
306,5.0,5.0,9.0,8.0
307,13.0,13.0,8.0,7.0
308,0.0,0.0,5.0,5.0
309,8.0,8.0,4.0,4.0
310,3.0,3.0,3.0,2.0
311,254.0,-2.0,1.0,1.0
312,5.0,5.0,0.0,0.0
313,249.0,-7.0,-2.0,-3.0
314,0.0,0.0,-3.0,-4.0
315,251.0,-5.0,-5.0,-5.0
316,246.0,-10.0,-6.0,-7.0
317,254.0,-2.0,-7.0,-8.0
318,241.0,-15.0,-10.0,-10.0
319,249.0,-7.0,-11.0,-11.0
320,243.0,-13.0,-13.0,-13.0
321,238.0,-18.0,-14.0,-15.0
322,246.0,-10.0,-15.0,-16.0
323,233.0,-23.0,-18.0,-18.0
324,241.0,-15.0,-18.0,-19.0
325,235.0,-21.0,-20.0,-21.0
326,231.0,-25.0,-22.0,-22.0
327,239.0,-17.0,-23.0,-23.0
328,225.0,-31.0,-25.0,-26.0
329,234.0,-22.0,-26.0,-26.0
330,228.0,-28.0,-28.0,-28.0
331,224.0,-32.0,-29.0,-30.0
332,231.0,-25.0,-30.0,-31.0
333,218.0,-38.0,-32.0,-33.0
334,227.0,-29.0,-33.0,-33.0
335,221.0,-35.0,-35.0,-35.0
336,217.0,-39.0,-36.0,-37.0
337,224.0,-32.0,-37.0,-38.0
338,211.0,-45.0,-39.0,-40.0
339,221.0,-35.0,-40.0,-40.0
340,214.0,-42.0,-41.0,-41.0
341,211.0,-45.0,-43.0,-43.0
342,218.0,-38.0,-43.0,-44.0
343,205.0,-51.0,-45.0,-46.0
344,215.0,-41.0,-45.0,-46.0
345,208.0,-48.0,-47.0,-47.0
346,205.0,-51.0,-48.0,-49.0
347,213.0,-43.0,-49.0,-49.0
348,200.0,-56.0,-51.0,-51.0
349,210.0,-46.0,-51.0,-51.0
350,203.0,-53.0,-52.0,-52.0
351,200.0,-56.0,-53.0,-54.0
352,208.0,-48.0,-53.0,-54.0
353,195.0,-61.0,-55.0,-56.0
354,205.0,-51.0,-55.0,-56.0
355,198.0,-58.0,-56.0,-57.0
356,197.0,-59.0,-57.0,-57.0
357,204.0,-52.0,-57.0,-58.0
358,191.0,-65.0,-59.0,-59.0
359,202.0,-54.0,-58.0,-59.0
360,195.0,-61.0,-60.0,-60.0
361,194.0,-62.0,-60.0,-60.0
362,201.0,-55.0,-60.0,-60.0
363,189.0,-67.0,-61.0,-62.0
364,200.0,-56.0,-61.0,-61.0
365,193.0,-63.0,-62.0,-62.0
366,192.0,-64.0,-62.0,-62.0
367,199.0,-57.0,-62.0,-62.0
368,187.0,-69.0,-63.0,-64.0
369,198.0,-58.0,-63.0,-63.0
370,191.0,-65.0,-63.0,-64.0
371,191.0,-65.0,-63.0,-64.0
372,198.0,-58.0,-63.0,-63.0
373,186.0,-70.0,-64.0,-64.0
374,198.0,-58.0,-63.0,-63.0
375,191.0,-65.0,-64.0,-64.0
376,191.0,-65.0,-64.0,-64.0
377,198.0,-58.0,-63.0,-63.0
378,186.0,-70.0,-64.0,-64.0
379,198.0,-58.0,-63.0,-63.0
380,191.0,-65.0,-63.0,-63.0
381,192.0,-64.0,-63.0,-63.0
382,199.0,-57.0,-62.0,-62.0
383,188.0,-68.0,-62.0,-63.0
384,200.0,-56.0,-61.0,-61.0
385,193.0,-63.0,-61.0,-61.0
386,194.0,-62.0,-61.0,-61.0
387,201.0,-55.0,-60.0,-60.0
388,190.0,-66.0,-60.0,-61.0
389,202.0,-54.0,-59.0,-59.0
390,195.0,-61.0,-59.0,-59.0
391,197.0,-59.0,-58.0,-58.0
392,204.0,-52.0,-57.0,-57.0
393,193.0,-63.0,-57.0,-57.0
394,206.0,-50.0,-55.0,-56.0
395,198.0,-58.0,-55.0,-56.0
396,201.0,-55.0,-54.0,-55.0
397,207.0,-49.0,-53.0,-54.0
398,197.0,-59.0,-53.0,-54.0
399,210.0,-46.0,-51.0,-52.0
400,203.0,-53.0,-51.0,-51.0
401,205.0,-51.0,-50.0,-50.0
402,212.0,-44.0,-48.0,-49.0
403,202.0,-54.0,-48.0,-49.0
404,215.0,-41.0,-46.0,-47.0
405,208.0,-48.0,-45.0,-46.0
406,211.0,-45.0,-44.0,-44.0
407,218.0,-38.0,-43.0,-43.0
408,208.0,-48.0,-42.0,-43.0
409,221.0,-35.0,-40.0,-41.0
410,214.0,-42.0,-40.0,-40.0
411,217.0,-39.0,-38.0,-38.0
412,224.0,-32.0,-36.0,-37.0
413,214.0,-42.0,-36.0,-36.0
414,228.0,-28.0,-34.0,-34.0
415,220.0,-36.0,-33.0,-33.0
